,Unai,Simón,P,11/06/1997,,24,15,Spagna,Athletic Bilbao
,Iago,Herrerín,P,25/01/1988,,33,1,Spagna,Athletic Bilbao
,Iñigo,Martínez,D,17/05/1991,,30,13,Spagna,Athletic Bilbao
,Unai,Núñez,D,30/01/1997,,24,10,Spagna,Athletic Bilbao
,Yeray,Álvarez,D,24/01/1995,,26,10,Spagna,Athletic Bilbao
,Yuri,Berchiche,D,10/02/1990,,31,8,Spagna,Athletic Bilbao
,Peru,Nolaskoain,C,25/10/1998,,23,2,Spagna,Athletic Bilbao
,Unai,López,C,30/10/1995,,26,10,Spagna,Athletic Bilbao
,Dani,García,C,24/05/1990,,31,2,Spagna,Athletic Bilbao
,Iker,Muniain,A,19/12/1992,,29,8,Spagna,Athletic Bilbao
,Álex,Berenguer,A,19/12/1992,,29,8,Spagna,Athletic Bilbao
,Iñaki,Williams,A,15/06/1994,,27,13,Spagna,Athletic Bilbao
,Jan,Oblak,P,07/01/1993,Adidas,28,50,Slovenia,Atletico Madrid
,Ivo,Grbic,P,18/01/1996,,25,4,Croazia,Atletico Madrid
,José María,Giménez,D,20/01/1995,,26,33,Uruguay,Atletico Madrid
,Mario,Hermoso,D,18/06/1995,,26,15,Spagna,Atletico Madrid
,Renan,Lodi,D,08/04/1998,,23,20,Brasile,Atletico Madrid
,Kieran,Trippier,D,19/09/1990,,31,10,Inghilterra,Atletico Madrid
,Lucas,Torreira,C,11/02/1996,,25,15,Uruguay,Atletico Madrid
,Koke,,C,08/01/1992,,29,30,Spagna,Atletico Madrid
,Saúl,Ñíguez,C,21/11/1994,,27,30,Spagna,Atletico Madrid
,Ángel,Correa,A,09/03/1995,,26,20,Argentina,Atletico Madrid
,João,Félix,A,10/11/1999,,22,58,Portogallo,Atletico Madrid
,Marcos,Llorente,A,30/01/1995,,26,27,Spagna,Atletico Madrid
,Marc-André,Ter Stegen,P,30/04/1992,Adidas,29,38,Germania,Barcellona
,Neto,,P,19/07/1989,,32,5,Brasile,Barcellona
,Clément,Lenglet,D,17/06/1995,,26,20,Francia,Barcellona
,Gerard,Piqué,D,02/02/1987,,34,6,Spagna,Barcellona
,Jordi,Alba,D,21/03/1989,,32,13,Spagna,Barcellona
,Sergiño,Dest,D,03/11/2000,,21,13,Stati Uniti,Barcellona
,Sergio,Busquets,C,16/07/1988,,33,5,Spagna,Barcellona
,Frenkie,De Jong,C,12/05/1997,Nike,24,35,Olanda,Barcellona
,Miralem,Pjanić,C,02/04/1990,Adidas,31,20,Bosnia,Barcellona
,Philippe,Coutinho,C,12/06/1992,Nike,29,30,Brasile,Barcellona
,Ansu,Fati,A,31/10/2002,Nike,19,48,Spagna,Barcellona
,Lionel,Messi,A,24/06/1987,Adidas,34,50,Argentina,Barcellona
,Antoine,Griezmann,A,21/03/1991,Adidas,30,35,Francia,Barcellona
,Thibaut,Courtois,P,11/05/1992,Adidas,29,38,Belgio,Real Madrid
,Raphaël,Varane,D,25/04/1993,,28,35,Francia,Real Madrid
,Sergio,Ramos,D,30/03/1986,Nike,35,7,Spagna,Real Madrid
,Ferland,Mendy,D,08/06/1995,,26,20,Francia,Real Madrid
,Marcelo,,D,12/05/1988,,33,5,Brasile,Real Madrid
,Daniel,Carvajal,D,11/01/1992,,29,20,Spagna,Real Madrid
,Casemiro,,C,23/02/1992,Nike,29,35,Brasile,Real Madrid
,Federico,Valverde,C,22/07/1998,,23,35,Uruguay,Real Madrid
,Toni,Kroos,C,04/01/1990,Adidas,31,28,Germania,Real Madrid
,Isco,,C,21/04/1992,Nike,29,10,Spagna,Real Madrid
,Eden,Hazard,A,07/01/1991,Nike,30,28,Belgio,Real Madrid
,Karim,Benzema,A,19/12/1987,Adidas,34,13,Francia,Real Madrid
,Álex,Remiro,P,24/03/1995,,26,12,Spagna,Real Sociedad
,Miguel Ángel,Moyá,P,02/04/1984,,37,1,Spagna,Real Sociedad
,Robin,Le Normand,D,11/11/1996,,25,11,Francia,Real Sociedad
,Aritz,Elustondo,D,28/03/1994,,27,8,Spagna,Real Sociedad
,Andoni,Gorosabel,D,04/08/1996,,25,5,Spagna,Real Sociedad
,Joseba,Zaldua,D,24/06/1992,,29,4,Spagna,Real Sociedad
,Igor,Zubeldia,C,30/03/1997,,24,11,Spagna,Real Sociedad
,Martín,Zubimendi,C,02/02/1999,,22,8,Spagna,Real Sociedad
,Mikel,Merino,C,22/06/1996,,25,20,Spagna,Real Sociedad
,Ander,Guevara,C,07/07/1997,,24,3,Spagna,Real Sociedad
,Mikel,Oyarzabal,A,21/04/1997,Nike,24,35,Spagna,Real Sociedad
,Alexander,Isak,A,21/09/1999,,22,12,Svezia,Real Sociedad
,Bono,,P,05/04/1991,,32,8,Marocco,Sevilla
,Tomas,Vaclík,P,29/03/1989,,32,4,Repubblica Ceca,Sevilla
,Jules,Koundé,D,12/11/1998,,23,26,Francia,Sevilla
,Diego,Carlos,D,15/03/1993,,28,25,Brasile,Sevilla
,Marcos,Acuña,D,28/10/1991,,32,7,Argentina,Sevilla
,Jesús,Navas,D,21/11/1985,,36,2,Spagna,Sevilla
,Joan,Jordán,C,06/07/1994,,27,13,Spagna,Sevilla
,Óliver,Torres,C,10/11/1994,,27,7,Spagna,Sevilla
,Ivan,Rakitic,C,10/03/1988,Adidas,33,5,Croazia,Sevilla
,Óscar,,C,28/06/1998,,23,6,Spagna,Sevilla
,Lucas,Ocampos,A,11/07/1994,,27,23,Argentina,Sevilla
,Suso,,A,19/11/1993,,28,9,Spagna,Sevilla
,Jaume,Doménech,P,05/11/1990,,31,3,Spagna,Valencia
,Jasper,Cillessen,P,22/04/1989,,32,3,Olanda,Valencia
,Gabriel,Paulista,D,26/11/1990,,30,8,Spagna,Valencia
,Mouctar,Diakhaby,D,19/12/1996,,25,5,Francia,Valencia
,Hugo,Guillamón,D,31/01/2000,,21,4,Spagna,Valencia
,José,Gayà,D,25/05/1995,,26,18,Spagna,Valencia
,Carlos,Soler,C,02/01/1997,,24,18,Spagna,Valencia
,Uros,Racic,C,17/03/1998,,23,5,Serbia,Valencia
,Kang-in,Lee,C,19/02/2001,,20,8,Corea del Sud,Valencia
,Gonçalo,Guedes,A,29/11/1996,Nike,25,10,Portogallo,Valencia
,Maxi,Gómez,A,14/08/1996,,25,16,Uruguay,Valencia
,Patrick,Cutrone,A,03/01/1998,Adidas,23,16,Italia,Valencia
,Sergio,Asenjo,P,28/06/1989,,32,5,Spagna,Villareal
,Gero,Rulli,P,20/05/1992,,29,2,Argentina,Villareal
,Pau,Torres,D,16/01/1997,,24,25,Spagna,Villareal
,Juan,Foyth,D,12/01/1998,,23,5,Argentina,Villareal
,Ramiro,Funes Mori,D,05/03/1991,,30,2,Argentina,Villareal
,Pervis,Estupiñán,D,21/01/1998,,23,7,Spagna,Villareal
,Francis,Coquelin,C,13/05/1991,,30,3,Francia,Villareal
,Manu,Trigueros,C,17/10/1991,,30,6,Spagna,Villareal
,Dani,Parejo,C,16/04/1989,,32,5,Spagna,Villareal
,Samuel,Chukwueze,A,22/05/1999,,22,12,Nigeria,Villareal
,Gerard,Moreno,A,07/04/1992,,29,16,Spagna,Villareal
,Paco,Alcácer,A,30/08/1993,Adidas,28,14,Spagna,Villareal









